id,district_id,frequency,date
1,c2_30,poplatek_tydne,930322
10,c2_14,poplatek_mesicne,930620
100,c2_31,poplatek_po_obratu,931117
102,c2_29,poplatek_mesicne,931116
104,c2_1,poplatek_mesicne,930530
107,c2_63,poplatek_mesicne,940829
109,c2_52,poplatek_mesicne,930805
11,c2_55,poplatek_mesicne,930117
111,c2_75,poplatek_mesicne,930804
113,c2_61,poplatek_mesicne,940208
114,c2_24,poplatek_mesicne,930910
115,c2_47,poplatek_mesicne,930824
116,c2_1,poplatek_mesicne,930810
117,c2_68,poplatek_mesicne,930912
118,c2_70,poplatek_mesicne,940604
119,c2_40,poplatek_mesicne,930523
12,c2_44,poplatek_mesicne,930113
120,c2_1,poplatek_mesicne,930905
121,c2_28,poplatek_mesicne,940225
122,c2_1,poplatek_mesicne,941125
123,c2_64,poplatek_mesicne,931110
125,c2_11,poplatek_mesicne,930520
127,c2_28,poplatek_mesicne,931211
128,c2_65,poplatek_mesicne,931213
129,c2_1,poplatek_tydne,930706
13,c2_6,poplatek_tydne,930319
131,c2_26,poplatek_mesicne,950208
132,c2_61,poplatek_mesicne,931114
133,c2_19,poplatek_mesicne,930918
134,c2_41,poplatek_mesicne,950115
136,c2_9,poplatek_mesicne,941208
137,c2_9,poplatek_mesicne,940827
138,c2_2,poplatek_mesicne,950213
139,c2_15,poplatek_mesicne,940604
14,c2_49,poplatek_tydne,930315
140,c2_19,poplatek_mesicne,940427
141,c2_1,poplatek_mesicne,950304
142,c2_34,poplatek_mesicne,950422
144,c2_11,poplatek_mesicne,931208
145,c2_62,poplatek_mesicne,940728
147,c2_43,poplatek_mesicne,940903
148,c2_68,poplatek_mesicne,941209
15,c2_63,poplatek_po_obratu,930705
150,c2_54,poplatek_po_obratu,941201
151,c2_11,poplatek_mesicne,950722
153,c2_72,poplatek_mesicne,950129
156,c2_31,poplatek_tydne,940522
157,c2_19,poplatek_tydne,950409
158,c2_70,poplatek_tydne,950818
159,c2_7,poplatek_mesicne,940407
160,c2_13,poplatek_tydne,950827
162,c2_13,poplatek_tydne,940714
163,c2_21,poplatek_mesicne,950407
164,c2_21,poplatek_mesicne,950407
165,c2_16,poplatek_mesicne,941019
166,c2_73,poplatek_tydne,951227
167,c2_33,poplatek_mesicne,950102
17,c2_68,poplatek_mesicne,930711
170,c2_72,poplatek_mesicne,960309
171,c2_5,poplatek_mesicne,950619
172,c2_61,poplatek_mesicne,941001
