paper_id,word_cited_id
103027,word115
103027,word1178
103027,word1583
103027,word170
103027,word1738
103027,word2
103027,word2124
103027,word2144
103027,word2173
103027,word2217
103027,word2311
103027,word2430
103027,word2458
103027,word248
103027,word2540
103027,word2569
103027,word2605
103027,word287
103027,word3191
103027,word328
103027,word3565
103027,word59
103027,word66
103027,word76
103027,word832
103027,word866
103027,word918
103027,word979
108321,word103
108321,word1240
108321,word1517
108321,word1524
108321,word1605
108321,word1614
108321,word1618
108321,word1624
108321,word1632
108321,word1645
108321,word170
108321,word1743
108321,word1758
108321,word201
108321,word2050
108321,word209
108321,word2114
108321,word212
108321,word2279
108321,word2281
108321,word2400
108321,word2540
108321,word2616
108321,word2975
108321,word3131
108321,word3261
108321,word3311
108321,word3317
108321,word419
108321,word433
108321,word508
108321,word511
108321,word602
108321,word817
128910,word1055
128910,word1132
128910,word1214
128910,word1253
128910,word1270
128910,word1275
128910,word1277
128910,word1363
128910,word1756
128910,word2144
128910,word2169
128910,word2267
128910,word2328
128910,word2331
128910,word2540
128910,word2564
128910,word2569
128910,word2657
128910,word2737
128910,word2839
128910,word2900
128910,word3005
128910,word3048
128910,word3083
128910,word3102
128910,word3120
128910,word3141
128910,word322
128910,word3473
128910,word472
128910,word533
128910,word564
128910,word58
128910,word602
128910,word681
128910,word809
128910,word817
131669,word103
131669,word1240
131669,word1275
131669,word139
131669,word1578
131669,word1582
131669,word1589
131669,word172
131669,word178
131669,word1832
131669,word1999
131669,word2144
131669,word2240
131669,word2242
131669,word2243
131669,word247
131669,word2602
131669,word2619
131669,word2687
131669,word2699
131669,word2799
131669,word3020
131669,word3046
131669,word3123
131669,word3161
131669,word3214
131669,word3331
131669,word3347
131669,word3408
131669,word3430
131669,word3448
131669,word49
131669,word657
131669,word753
131669,word809
131669,word882
140079,word103
140079,word1061
140079,word1303
140079,word1326
140079,word1419
140079,word1517
140079,word167
140079,word171
140079,word178
140079,word1869
140079,word223
140079,word2240
140079,word2242
140079,word2283
140079,word2411
140079,word2569
140079,word2742
140079,word3145
140079,word3166
140079,word3189
140079,word3231
140079,word3331
140079,word3553
140079,word512
140079,word554
140079,word580
140079,word618
140079,word763
140079,word879
140079,word922
154973,word1012
154973,word1073
154973,word1077
154973,word1214
154973,word1507
154973,word1517
154973,word1604
154973,word1637
154973,word1798
154973,word1820
154973,word1877
154973,word1988
154973,word1994
154973,word2086
154973,word2112
154973,word2231
154973,word225
154973,word2558
154973,word2569
154973,word2837
